113,35,STEAM ASSIS GRAVITY DRAIN,10/26/2012
114,36,UNKNOWN,11/10/2006
115,36,DRILLED AND CASED,5/1/2007
116,36,STEAM ASSIS GRAVITY DRAIN,5/21/2011
117,37,UNKNOWN,10/24/2001
118,37,DRILLED AND CASED,1/7/2003
119,37,STEAM ASSIS GRAVITY DRAIN,10/9/2003
120,38,UNKNOWN,11/10/2006
121,38,DRILLED AND CASED,4/10/2007
122,38,STEAM ASSIS GRAVITY DRAIN,5/21/2011
123,39,UNKNOWN,10/24/2001
124,39,DRILLED AND CASED,7/31/2002
125,39,STEAM ASSIS GRAVITY DRAIN,7/12/2005
126,39,STEAM ASSIS GRAVITY DRAIN,9/19/2003
127,39,SUSPENDED STEAM ASSIS GRAVITY DRAIN,4/19/2004
128,40,UNKNOWN,8/11/2003
129,40,DRILLED AND CASED,6/24/2004
130,40,STEAM ASSIS GRAVITY DRAIN,9/15/2008
131,41,UNKNOWN,7/8/2010
132,41,DRILLED AND CASED,12/16/2010
133,41,STEAM ASSIS GRAVITY DRAIN,10/26/2012
134,42,UNKNOWN,10/22/2004
135,42,DRILLED AND CASED,2/3/2008
136,42,STEAM ASSIS GRAVITY DRAIN,12/30/2011
137,43,UNKNOWN,5/28/2008
138,43,DRILLED AND CASED,9/3/2008
139,43,STEAM ASSIS GRAVITY DRAIN,10/18/2012
140,44,UNKNOWN,8/11/2003
141,44,DRILLED AND CASED,6/4/2004
142,44,STEAM ASSIS GRAVITY DRAIN,9/15/2008
143,45,UNKNOWN,10/22/2004
144,45,DRILLED AND CASED,11/18/2007
145,45,STEAM ASSIS GRAVITY DRAIN,12/13/2011
146,45,STEAM ASSIS GRAVITY DRAIN,11/13/2011
147,46,UNKNOWN,5/28/2008
148,46,DRILLED AND CASED,8/26/2008
149,46,STEAM ASSIS GRAVITY DRAIN,9/15/2012
150,47,UNKNOWN,10/22/2004
151,47,DRILLED AND CASED,12/21/2007
152,47,STEAM ASSIS GRAVITY DRAIN,12/15/2011
153,48,UNKNOWN,11/20/2008
154,48,DRILLED AND CASED,3/7/2009
155,48,STEAM ASSIS GRAVITY DRAIN,9/6/2012
156,49,UNKNOWN,4/24/2006
157,49,DRILLED AND CASED,9/10/2006
158,49,STEAM ASSIS GRAVITY DRAIN,10/21/2011
159,50,UNKNOWN,10/24/2001
160,50,DRILLED AND CASED,10/18/2002
161,50,STEAM ASSIS GRAVITY DRAIN,10/4/2004
162,50,STEAM ASSIS GRAVITY DRAIN,10/7/2003
163,50,SUSPENDED STEAM ASSIS GRAVITY DRAIN,8/8/2004
164,51,UNKNOWN,11/10/2006
165,51,DRILLED AND CASED,3/6/2007
166,51,STEAM ASSIS GRAVITY DRAIN,4/16/2011
167,52,UNKNOWN,8/11/2003
168,52,DRILLED AND CASED,5/18/2004
169,52,STEAM ASSIS GRAVITY DRAIN,9/15/2008
170,53,UNKNOWN,9/10/2003
171,53,DRILLED AND CASED,10/1/2004
172,53,STEAM ASSIS GRAVITY DRAIN,9/18/2007
173,54,UNKNOWN,9/10/2003
174,54,DRILLED AND CASED,9/15/2004
175,54,STEAM ASSIS GRAVITY DRAIN,9/21/2005
176,55,UNKNOWN,7/8/2010
177,55,DRILLED AND CASED,11/22/2010
178,55,STEAM ASSIS GRAVITY DRAIN,10/26/2012
179,56,UNKNOWN,7/8/2010
180,56,DRILLED AND CASED,1/22/2011
181,56,STEAM ASSIS GRAVITY DRAIN,10/26/2012
182,57,UNKNOWN,10/24/2001
183,57,DRILLED AND CASED,10/25/2002
184,57,STEAM ASSIS GRAVITY DRAIN,7/30/2008
185,57,STEAM ASSIS GRAVITY DRAIN,10/8/2003
186,57,SUSPENDED STEAM ASSIS GRAVITY DRAIN,6/24/2004
187,58,UNKNOWN,11/10/2006
188,58,DRILLED AND CASED,4/27/2007
189,58,STEAM ASSIS GRAVITY DRAIN,4/16/2011
190,59,UNKNOWN,10/24/2001
191,59,DRILLED AND CASED,6/23/2002
192,59,STEAM ASSIS GRAVITY DRAIN,9/19/2003
193,60,UNKNOWN,11/10/2006
194,60,DRILLED AND CASED,7/28/2007
195,60,STEAM ASSIS GRAVITY DRAIN,4/16/2011
196,61,UNKNOWN,7/8/2010
197,61,DRILLED AND CASED,11/30/2010
198,61,STEAM ASSIS GRAVITY DRAIN,10/26/2012
199,62,UNKNOWN,10/22/2004
200,62,DRILLED AND CASED,11/24/2007
201,62,STEAM ASSIS GRAVITY DRAIN,12/12/2011
202,63,UNKNOWN,5/28/2008
203,63,DRILLED AND CASED,9/7/2008
204,63,STEAM ASSIS GRAVITY DRAIN,9/15/2012
205,64,UNKNOWN,11/20/2008
206,64,DRILLED AND CASED,1/25/2009
